st_transform,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
"MULTILINESTRING ((12.14620803106 54.0881821446756,12.1471560263166 54.0879417408278,12.147077466813 54.0877656576669))",af3ae650-0231-41f2-95f7-e753f71cfc88,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Bei der Nikolaikirche,"01170"
"MULTILINESTRING ((12.0912577326251 54.0925352936422,12.0938283584792 54.0935340592814))",e6caaecd-e74a-4a30-a0a7-943f03cc32e7,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Franz-Schubert-Straße,"02500"
"MULTILINESTRING ((12.1458693115716 54.0904693814456,12.1462553084679 54.0904139298177,12.1466976755919 54.0903523888472))",8b2bb41b-c3d9-4902-9316-f499081fd402,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Sackpfeife,"08160"
"MULTILINESTRING ((12.0671965686533 54.0638329158947,12.0673131725055 54.063877502052,12.0680417294459 54.0641833626991,12.0681759163177 54.0642384495581,12.0683471115514 54.0643223544557,12.0689979094711 54.0646075898545))",52467f1b-4f69-40d3-8b52-61a52b2a21ce,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lärchenweg,"06480"
"MULTILINESTRING ((12.1270681925097 54.1485079780022,12.1272050177787 54.1483108130776))",76d92902-d910-4054-b23d-5fef5120b910,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Eisenwerk,"13430"
"MULTILINESTRING ((12.0763840337871 54.0616368169326,12.0746720851371 54.0608112573695,12.0738405714795 54.0603988576851,12.0736847770955 54.0603851176146,12.0736046488019 54.0604119395702,12.0735354403805 54.0604824179418,12.0735183339597 54.0605675984923,12.0735406122666 54.06107573044,12.0735564273503 54.0611238760018,12.0736068702958 54.0611498094288,12.0748579592848 54.061754660962),(12.0757486467431 54.0621852541616,12.0748579592848 54.061754660962),(12.0748579592848 54.061754660962,12.0744504276885 54.0620554349683))",eae1e301-0c06-4b68-bd9b-5789d34e9158,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lange Liete,"14260"
"MULTILINESTRING ((12.0987417473295 54.1748681949054,12.1008225461389 54.1748564084816))",b86a196a-e988-4acf-bf20-0749057ac294,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Neptunweg,"07160"
"MULTILINESTRING ((12.1360992439078 54.0706607810431,12.1359049665639 54.0703878817366,12.1358096697835 54.0702538556097,12.1355718151769 54.0699196430108,12.1353366530923 54.0695667398039,12.1351002185796 54.0692441142313,12.1348149288475 54.0688805750924,12.1343081233196 54.0682681515114,12.1338774459353 54.0677654277179,12.1330208125476 54.0667937506996,12.1327063465611 54.0664181998909,12.1324532812342 54.0660890288624,12.1319389181093 54.0654316824522,12.1317599936734 54.0652158089698,12.1313115849839 54.0648339324837,12.1310166189754 54.0645785642622,12.1308853727849 54.0644655064302,12.1307107272754 54.0642959851002,12.1304730130046 54.0640312995768,12.13033687759 54.0638678451554),(12.1360992439078 54.0706607810431,12.1349171461127 54.0709623640374),(12.1303365650995 54.0638655994474,12.130240270355 54.0637437883554,12.1301257405938 54.063553627253,12.1299477423802 54.0632374864831,12.12933444865 54.0621739705068,12.1282092330895 54.0602047627183,12.1278319963811 54.0595981922746,12.1275348274922 54.0592527062067,12.1274369934435 54.0591207422803,12.1272089082777 54.0588422940825,12.1268237438866 54.0583815422152),(12.1363254373654 54.0658483281961,12.1339866064772 54.0658997406587,12.1336161022583 54.0659101252975,12.1334701326451 54.0659244823893,12.1333310797884 54.0659524875954,12.1325213644691 54.0661732255023),(12.1384122658183 54.0731947335555,12.137849205944 54.0726947820186,12.137599431266 54.0724606709139,12.1374857493915 54.0723596391079,12.1374015338979 54.0722535423973,12.1369241327567 54.0716879939416,12.1367198247322 54.0714337944969,12.1365072377253 54.0711696316565,12.1361600066208 54.0707439955914,12.1360992439078 54.0706607810431),(12.1405404410103 54.0755569896251,12.1399669415907 54.0748319170362,12.1394848743361 54.0742152644411,12.1394195849739 54.0741523610902,12.139391252272 54.0741311912814,12.1393322504309 54.0741210176867),(12.1359049665639 54.0703878817366,12.1363996570076 54.0702591559766,12.1366929642916 54.0701801847095,12.136805202873 54.0701581126416,12.136894169995 54.0701524173483,12.1369529387811 54.0701602866008))",bc0753c8-25fe-43a4-b113-0e0ad21ae548,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schwaaner Landstraße,"08440"
"MULTILINESTRING ((12.0633336687178 54.1044929658329,12.063609620162 54.1044976716484,12.0640374191531 54.1045282601959,12.0641427701987 54.1045400631031))",e07a359c-45e0-4ddf-95e0-13ea577378f8,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Umspannwerk,"12690"
"MULTILINESTRING ((12.0762108066655 54.067700619866,12.0774733774615 54.065814663072,12.0775105077481 54.0656590331618,12.0774761612896 54.065505156305,12.0773621253313 54.0653713654513,12.0771116994238 54.0652377518711,12.0767373861016 54.0650919085665,12.0761000539487 54.064853693785,12.0758550320737 54.0647481946441,12.0755292728501 54.0645895593945,12.0752444886302 54.0643689966186,12.0751230213071 54.0641739361542,12.0750401467131 54.0639518090959,12.0750458475892 54.0636407731628,12.075121350405 54.0632484766135,12.0753813174886 54.0626733261971,12.0755444561371 54.0624371194627,12.0757611581793 54.0621787776663,12.0760447390516 54.0619147331527,12.0763840337871 54.0616368169326,12.0767330034459 54.0613904280587,12.0770360058894 54.0612293275445,12.0773242144127 54.0611623002044,12.0776137303856 54.0611417195704,12.0781203176762 54.0611524420544))",6aa5db88-530b-4695-8265-29ff0a7d7acc,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Wüsteney,"14230"
"MULTILINESTRING ((12.1665030530716 54.0793005291493,12.1674346576533 54.0787872283026,12.1678493034907 54.0785580033395,12.1683811746531 54.0782647354571))",ce5b9b47-baa8-4865-874f-714263a56be6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Maikäferweg,"10290"
"MULTILINESTRING ((12.1054685165171 54.088316309101,12.1059293489239 54.0888296176987,12.1069178938472 54.0899397226065))",50de6a55-8a45-412e-9ff9-6c561717ae59,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hansastraße,"03350"
"MULTILINESTRING ((12.1280941101332 54.0851183568016,12.1294058521463 54.0850363649829,12.1294475756683 54.0850387458134,12.1295744604405 54.085056577516))",446e5459-d4ed-4c94-8dcd-6ea20e24fbe7,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kurze Straße,"06390"
"MULTILINESTRING ((12.1072511897149 54.0865577029013,12.107609646489 54.0869556501293,12.1081084424801 54.0874897597609))",59950354-da1d-4f40-90cc-734fddb52d9f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Gewettstraße,"02920"
"MULTILINESTRING ((12.2120194905534 54.2027004932167,12.2121943498264 54.2026430471717,12.212625780681 54.2023861529106,12.2129093792424 54.202227982992))",f0d8189e-4948-499a-b01e-93625fbd6d7e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Erich-Weinert-Siedlung,"03630"
"MULTILINESTRING ((12.1452320183392 54.0884984011033,12.1453216737393 54.0884842775593,12.14571115096 54.0884676349786,12.1463043168129 54.0884457124707))",29d55eec-dac9-443e-aff0-bfab344aead2,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brauergasse,"01550"
"MULTILINESTRING ((12.1266488729036 54.0862244887395,12.1278338632511 54.0864050745713))",a0a6af94-2b4f-4600-ba16-ec2ee2dfdb23,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Vögenstraße,"09320"
"MULTILINESTRING ((12.1295148876141 54.0807950962294,12.1324449955192 54.0803761186815))",012bc62d-e602-4edf-bc1b-a1297865ca15,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Wielandstraße,"09700"
"MULTILINESTRING ((12.1391405327229 54.0796485693143,12.1409806458783 54.079183832115,12.1425906730511 54.0787771977074))",21562b63-67dc-49b3-9413-532067c6148f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",John-Brinckman-Straße,"04160"
"MULTILINESTRING ((12.1176399667653 54.0757070761895,12.1186987465456 54.0764811000558),(12.1168001079449 54.0750832255087,12.1176350727399 54.0757051943009))",f91d4168-e1d3-4d9c-9806-e44e76bc7381,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Rudolf-Diesel-Straße,"08110"
