,ort,plz,vorwahl
325,Annweiler am Trifels,76855,06346
326,Anröchte,59609,02927
327,Ansbach,91522,0981
328,Anschau,56729,02651
329,Antdorf,82387,08801
330,Antrifttal,36326,06692
331,Antweiler,53533,02693
332,Anzing,85646,08121
333,Apelern,31552,05723
334,Apen,26689,04489
335,Apenburg-Winterfeld,38486,039008
336,Apensen,21641,04167
337,Apfeldorf,86974,08869
338,Apfeltrach,87742,08267
339,Apolda,99510,03644
340,Appel,21279,04165
341,Appen,25482,04101
342,Appenheim,55437,06725
343,Appenweier,77767,07805
344,Arbach,56769,02657
345,Arberg,91722,09836
346,Aremberg,53533,02693
347,Arendsee (Altmark),39619,039384
348,Arenrath,54518,06535
349,Arenshausen,37318,036083
350,Aresing,86561,08445
351,Arft,56729,02651
352,Argenbühl,88260,07566
353,Argenschwang,55595,0671
354,Argenthal,55496,06764
355,Arholzen,37627,05532
356,Arkebek,25767,04835
357,Arlewatt,25860,04846
358,Armsheim,55288,06734
359,Armstedt,24616,04324
360,Armstorf,21769,04773
361,Arnbruck,93471,09945
362,Arneburg,39596,039321
363,Arnis,24399,04642
364,Arnsberg,59755,02932
365,Arnsberg,59757,02932
366,Arnsberg,59759,02932
367,Arnsberg,59821,02932
368,Arnsberg,59823,02932
369,Arnschwang,93473,09977
370,Arnsdorf,1477,033838
371,Arnshöfen,56244,02666
372,Arnstadt,99310,03628
373,Arnstein,97450,09728
374,Arnstein,6456,06158
375,Arnstorf,94424,08723
376,Arpsdorf,24634,04321
377,Arrach,93474,09946
378,Artern,6556,Error
379,Artlenburg,21380,04139
380,Arzbach,56337,02620
381,Arzberg,4886,Error
382,Arzberg,95659,09233
383,Arzfeld,54687,06550
384,Asbach,53567,02683
385,Asbach,55758,06785
386,Asbach-Bäumenheim,86663,0906
387,Asbach-Sickenberg,37318,036083
388,Ascha,94347,09428
389,Aschaffenburg,63739,06021
390,Aschaffenburg,63741,06021
391,Aschaffenburg,63743,06021
392,Aschau am Inn,84544,08638
393,Aschau im Chiemgau,83229,08057
394,Aschbach,67753,06304
395,Ascheberg,59387,02599
396,Ascheberg,24326,04526
397,Ascheffel,24358,04353
398,Aschersleben,6449,Error
399,Aschheim,85609,089
400,Asendorf,21271,04184
401,Asendorf,27330,04253
402,Aspach,71546,07191
403,Asperg,71679,07141
404,Aspisheim,55459,06721
405,Assamstadt,97959,06294
406,Asselfingen,89176,07345
407,Aßlar,35614,06441
408,Aßling,85617,08092
409,Astert,57627,02662
410,Attendorn,57439,02722
411,Attenhausen,56370,06486
412,Attenhofen,84091,08754
413,Attenkirchen,85395,08168
414,Attenweiler,88448,07357
415,Atting,94348,09421
416,Atzelgift,57629,02747
417,Au,79280,0761
418,Au am Rhein,76474,07245
419,Aub,97239,09335
420,Aubstadt,97633,09761
421,Auderath,56766,02676
422,Aue-Bad Schlema,8280,Error
423,Aue-Bad Schlema,8301,Error
424,Auel,56357,06772
425,Auen,55569,06751
426,Auengrund,98673,03686
427,Auenwald,71549,07191
428,Auerbach,9392,Error
429,Auerbach,94530,09901
430,Auerbach in der Oberpfalz,91275,09643
431,Auerbach/Vogtland,8209,Error
432,Auetal,31749,05752
433,Aufhausen,93089,09454
434,Aufseß,91347,09274
435,Auggen,79424,07635
436,Augsburg,86150,0821
437,Augsburg,86152,0821
438,Augsburg,86153,0821
439,Augsburg,86154,0821
440,Augsburg,86156,0821
441,Augsburg,86157,0821
442,Augsburg,86159,0821
443,Augsburg,86161,0821
444,Augsburg,86163,0821
445,Augsburg,86165,0821
446,Augsburg,86167,0821
447,Augsburg,86169,0821
448,Augsburg,86179,0821
449,Augsburg,86199,0821
450,Augustdorf,32832,05237
451,Augustusburg,9573,Error
452,Auhagen,31553,05725
453,Auhausen,86736,09832
454,Au in der Hallertau,84072,08752
455,Aukrug,24613,04873
456,Aulendorf,88326,07525
457,Aull,65582,06432
458,Auma-Weidatal,7955,Error
459,Aumühle,21521,04104
460,Aura a.d.Saale,97717,09704
461,Aurach,91589,Error
462,Aurachtal,91086,09132
463,Aura im Sinngrund,97773,09356
464,Aurich,26603,04941
465,Aurich,26605,04941
466,Aurich,26607,04941
467,Ausacker,24975,04634
468,Ausleben,39393,039402
469,Außernzell,94532,09903
470,Auufer,25548,04822
471,Auw an der Kyll,54664,06562
472,Auw bei Prüm,54597,06556
473,Aventoft,25927,04664
474,Averlak,25715,04855
475,Axstedt,27729,04793
476,Aying,85653,08095
477,Ayl,54441,06581
478,Aystetten,86482,0821
479,Baabe,18586,038303
480,Baar,86674,08276
481,Baar,56729,02651
482,Baar-Ebenhausen,85107,08453
483,Babenhausen,64832,06073
484,Babenhausen,87727,08333
485,Babensham,83547,08074
486,Bach an der Donau,93090,09403
487,Bacharach,55422,06743
488,Bachenberg,57610,02681
489,Bachhagel,89429,09077
490,Bächingen a.d.Brenz,89431,07325
491,Backnang,71522,07191
492,Bad Abbach,93077,09405
493,Bad Aibling,83043,08061
494,Bad Alexandersbad,95680,09232
495,Bad Arolsen,34454,05691
496,Bad Bayersoien,82435,08845
497,Bad Bellingen,79415,07635
498,Bad Belzig,14806,033841
499,Bad Bentheim,48455,05924
500,Badbergen,49635,05433
501,Bad Bergzabern,76887,06343
502,Bad Berka,99438,036458
503,Bad Berleburg,57319,02751
504,Bad Berneck im Fichtelgebirge,95460,09273
505,Bad Bertrich,56864,02674
506,Bad Bevensen,29549,05821
507,Bad Bibra,6647,Error
508,Bad Birnbach,84364,08563
509,Bad Blankenburg,7422,07139
510,Bad Bocklet,97708,09708
511,Bad Bodenteich,29389,05824
512,Bad Boll,73087,07164
513,Bad Brambach,8648,08293
514,Bad Bramstedt,24576,04192
515,Bad Breisig,53498,02642
516,Bad Brückenau,97769,09741
517,Bad Buchau,88422,07582
518,Bad Camberg,65520,06434
519,Baddeckenstedt,38271,05345
520,Bad Ditzenbach,73312,07331
521,Bad Ditzenbach,73342,07334
522,Bad Ditzenbach,73345,07335
523,Bad Doberan,18209,038203
524,Bad Driburg,33014,05253
525,Bad Düben,4849,02557
526,Bad Dürkheim,67098,06322
527,Bad Dürrenberg,6231,Error
528,Bad Dürrheim,78073,07726
529,Bad Eilsen,31707,05722
530,Bad Elster,8645,08295
531,Badem,54657,06563
532,Bad Ems,56130,02603
533,Bad Emstal,34308,05624
534,Baden-Baden,76530,07221
535,Baden-Baden,76532,07221
536,Baden-Baden,76534,07221
537,Bad Endbach,35080,02776
538,Badendorf,23619,0451
539,Bad Endorf,83093,08053
540,Badenhard,56291,06746
541,Badenheim,55576,06701
542,Badenweiler,79410,07632
543,Bad Essen,49152,05472
544,Bad Fallingbostel,29683,05161
545,Bad Feilnbach,83075,08064
546,Bad Frankenhausen/Kyffhäuser,6567,Error
547,Bad Freienwalde (Oder),16259,033368
548,Bad Friedrichshall,74177,07136
549,Bad Füssing,94072,08531
550,Bad Gandersheim,37581,05382
551,Bad Gottleuba-Berggießhübel,1816,Error
552,Bad Griesbach i.Rottal,94086,08532
553,Bad Grönenbach,87730,08334
554,Bad Grund,37539,05327
555,Bad Harzburg,38667,05322
556,Bad Heilbrunn,83670,08046
557,Bad Herrenalb,76332,07083
558,Bad Hersfeld,36251,06621
559,Bad Hindelang,87541,08324
560,Bad Homburg vor der Höhe,61348,06172
561,Bad Homburg vor der Höhe,61350,06172
562,Bad Homburg vor der Höhe,61352,069
563,Bad Honnef,53604,02224
564,Bad Hönningen,53547,02638
565,Bad Hönningen,53557,02635
566,Bad Iburg,49186,05403
567,Bad Karlshafen,34385,05672
568,Bad Kissingen,97688,0971
569,Bad Kleinen,23996,038423
570,Bad Klosterlausnitz,7639,Error
571,Bad Kohlgrub,82433,08845
572,Bad König,64732,06063
573,Bad Königshofen im Grabfeld,97631,09761
574,Bad Köstritz,7586,Error
575,Bad Kötzting,93444,09941
576,Bad Kreuznach,55543,0671
577,Bad Kreuznach,55545,0671
578,Bad Kreuznach,55583,0671
579,Bad Krozingen,79189,07633
580,Bad Laasphe,57334,02753
581,Bad Laer,49196,05424
582,Bad Langensalza,99947,03603
583,Bad Lausick,4651,02802
584,Bad Lauterberg im Harz,37431,05524
585,Bad Liebenstein,36448,036961
586,Bad Liebenwerda,4895,Error
587,Bad Liebenwerda,4924,Error
588,Bad Liebenwerda,4931,Error
589,Bad Liebenzell,75378,07052
590,Bad Lippspringe,33175,05252
591,Bad Lobenstein,7356,07173
592,Bad Marienberg (Westerwald),56470,02661
593,Bad Mergentheim,97980,07931
594,Bad Münder am Deister,31848,05042
595,Bad Münstereifel,53902,02253
